module,type,name,res_id,src,value,comments
account,model_terms,"ir.ui.view,arch_db",account.portal_invoice_page,"<strong class=""text-muted"">Salesperson</strong>","<strong class=""text-muted"">Salesperson</strong>",
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document_with_payments,<strong>Amount Due</strong>,<strong>Amount Due</strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_journal,<strong>Company:</strong>,<strong>Company:</strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Customer Code:</strong>,<strong>Customer Code:</strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_payment_receipt_document,<strong>Customer: </strong>,<strong>Customer: </strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Due Date:</strong>,<strong>Due Date:</strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_statement,<strong>Ending Balance</strong>,<strong>Ending Balance</strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_journal,<strong>Entries Sorted By:</strong>,<strong>Entries Sorted By:</strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Invoice Date:</strong>,<strong>Invoice Date:</strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_journal,<strong>Journal:</strong>,<strong>Journal:</strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_payment_receipt_document,<strong>Memo: </strong>,<strong>Memo: </strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_payment_receipt_document,<strong>Payment Amount: </strong>,<strong>Payment Amount: </strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_payment_receipt_document,<strong>Payment Date: </strong>,<strong>Payment Date: </strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_payment_receipt_document,<strong>Payment Method: </strong>,<strong>Payment Method: </strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Reference:</strong>,<strong>Reference:</strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Source:</strong>,<strong>Source:</strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_statement,<strong>Starting Balance</strong>,<strong>Starting Balance</strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Subtotal</strong>,<strong>Subtotal</strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_journal,<strong>Target Moves:</strong>,<strong>Target Moves:</strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_invoice_document,<strong>Total</strong>,<strong>Total</strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_journal,<strong>Total</strong>,<strong>Total</strong>,
account,model_terms,"ir.ui.view,arch_db",account.view_account_account_kanban,<strong>Type: </strong>,<strong>Type: </strong>,
account,model_terms,"ir.ui.view,arch_db",account.report_payment_receipt_document,<strong>Vendor: </strong>,<strong>Vendor: </strong>,
account,model_terms,"ir.actions.act_window,help",account.action_view_bank_statement_tree,"A Cash Register allows you to manage cash entries in your cash
                journals. This feature provides an easy way to follow up cash
                payments on a daily basis. You can enter the coins that are in
                your cash box, and then post entries when money comes in or
                goes out of the cash box.","A Cash Register allows you to manage cash entries in your cash
                journals. This feature provides an easy way to follow up cash
                payments on a daily basis. You can enter the coins that are in
                your cash box, and then post entries when money comes in or
                goes out of the cash box.",
account,code,addons/account/models/account_payment_term.py,32,A Payment Term should have only one line of type Balance.,A Payment Term should have only one line of type Balance.,
account,code,addons/account/models/account.py,1240,A bank account can belong to only one journal.,A bank account can belong to only one journal.,
account,model_terms,"ir.actions.act_window,help",account.action_bank_statement_tree,"A bank statement is a summary of all financial transactions
                occurring over a given period of time on a bank account. You
                should receive this periodicaly from your bank.","A bank statement is a summary of all financial transactions
                occurring over a given period of time on a bank account. You
                should receive this periodicaly from your bank.",
account,model_terms,"ir.actions.act_window,help",account.action_bank_statement_line,A bank statement line is a financial transaction on a bank account,A bank statement line is a financial transaction on a bank account,
account,model_terms,"ir.actions.act_window,help",account.action_move_journal_line,"A journal entry consists of several journal items, each of
                which is either a debit or a credit transaction.","A journal entry consists of several journal items, each of
                which is either a debit or a credit transaction.",
account,model_terms,"ir.actions.act_window,help",account.action_account_journal_form,"A journal is used to record transactions of all accounting data
                related to the day-to-day business.","A journal is used to record transactions of all accounting data
                related to the day-to-day business.",
account,code,addons/account/models/account_move.py,2321,A payment journal entry generated in a journal configured to post entries only when payments are reconciled with a bank statement cannot be manually posted. Those will be posted automatically after performing the bank reconciliation.,A payment journal entry generated in a journal configured to post entries only when payments are reconciled with a bank statement cannot be manually posted. Those will be posted automatically after performing the bank reconciliation.,
account,code,addons/account/models/reconciliation_widget.py,849,A reconciliation must involve at least 2 move lines.,A reconciliation must involve at least 2 move lines.,
account,model_terms,"ir.ui.view,arch_db",account.res_config_settings_view_form,"A rounding per line is advised if your prices are tax-included. That way, the sum of line subtotals equals the total with taxes.","A rounding per line is advised if your prices are tax-included. That way, the sum of line subtotals equals the total with taxes.",
account,code,addons/account/models/account_bank_statement.py,724,A selected move line was already reconciled.,A selected move line was already reconciled.,
account,code,addons/account/models/account_bank_statement.py,727,A selected move line was already reconciled.,A selected move line was already reconciled.,
account,code,addons/account/models/account_bank_statement.py,745,A selected statement line was already reconciled with an account move.,A selected statement line was already reconciled with an account move.,
account,code,addons/account/models/account.py,69,A tag defined to be used on taxes must always have a country set.,A tag defined to be used on taxes must always have a country set.,
account,model,"ir.model.constraint,message",account.constraint_account_fiscal_position_tax_tax_src_dest_uniq,A tax fiscal position could be defined only one time on same taxes.,A tax fiscal position could be defined only one time on same taxes.,
account,code,addons/account/models/res_users.py,24,"A user cannot have both Tax B2B and Tax B2C.
You should go in General Settings, and choose to display Product Prices
either in 'Tax-Included' or in 'Tax-Excluded' mode
(or switch twice the mode if you are already in the desired one).","A user cannot have both Tax B2B and Tax B2C.
You should go in General Settings, and choose to display Product Prices
either in 'Tax-Included' or in 'Tax-Excluded' mode
(or switch twice the mode if you are already in the desired one).",
account,model,"res.groups,name",account.group_warning_account,A warning can be set on a partner (Account),A warning can be set on a partner (Account),
account,model,"ir.model.fields,field_description",account.field_account_move__access_warning,Access warning,Access warning,
account,code,addons/account/static/src/js/reconciliation/reconciliation_renderer.js,565,Account,Account,openerp-web
account,code,addons/account/static/src/js/reconciliation/reconciliation_renderer.js,568,Account,Account,openerp-web
account,code,addons/account/static/src/xml/account_reconciliation.xml,221,Account,Account,openerp-web
account,code,addons/account/static/src/xml/account_reconciliation.xml,333,Account,Account,openerp-web
account,code,addons/account/static/src/xml/account_reconciliation.xml,358,Account,Account,openerp-web
account,model,"ir.model,name",account.model_account_account,Account,Account,
